dteday,year_month,day_name,season,casual,registered,cnt
2011-01-01,2011-01,Sat,springer,3,13,16
2011-01-01,2011-01,Sat,springer,8,32,40
2011-01-01,2011-01,Sat,springer,5,27,32
2011-01-01,2011-01,Sat,springer,3,10,13
2011-01-01,2011-01,Sat,springer,0,1,1
2011-01-01,2011-01,Sat,springer,0,1,1
2011-01-01,2011-01,Sat,springer,2,0,2
2011-01-01,2011-01,Sat,springer,1,2,3
2011-01-01,2011-01,Sat,springer,1,7,8
2011-01-01,2011-01,Sat,springer,8,6,14
2011-01-01,2011-01,Sat,springer,12,24,36
2011-01-01,2011-01,Sat,springer,26,30,56
2011-01-01,2011-01,Sat,springer,29,55,84
2011-01-01,2011-01,Sat,springer,47,47,94
2011-01-01,2011-01,Sat,springer,35,71,106
2011-01-01,2011-01,Sat,springer,40,70,110
2011-01-01,2011-01,Sat,springer,41,52,93
2011-01-01,2011-01,Sat,springer,15,52,67
2011-01-01,2011-01,Sat,springer,9,26,35
2011-01-01,2011-01,Sat,springer,6,31,37
2011-01-01,2011-01,Sat,springer,11,25,36
2011-01-01,2011-01,Sat,springer,3,31,34
2011-01-01,2011-01,Sat,springer,11,17,28
2011-01-01,2011-01,Sat,springer,15,24,39
2011-01-02,2011-01,Sun,springer,4,13,17
2011-01-02,2011-01,Sun,springer,1,16,17
2011-01-02,2011-01,Sun,springer,1,8,9
2011-01-02,2011-01,Sun,springer,2,4,6
2011-01-02,2011-01,Sun,springer,2,1,3
2011-01-02,2011-01,Sun,springer,0,2,2
2011-01-02,2011-01,Sun,springer,0,1,1
2011-01-02,2011-01,Sun,springer,0,8,8
2011-01-02,2011-01,Sun,springer,1,19,20
2011-01-02,2011-01,Sun,springer,7,46,53
2011-01-02,2011-01,Sun,springer,16,54,70
2011-01-02,2011-01,Sun,springer,20,73,93
2011-01-02,2011-01,Sun,springer,11,64,75
2011-01-02,2011-01,Sun,springer,4,55,59
2011-01-02,2011-01,Sun,springer,19,55,74
2011-01-02,2011-01,Sun,springer,9,67,76
2011-01-02,2011-01,Sun,springer,7,58,65
2011-01-02,2011-01,Sun,springer,10,43,53
2011-01-02,2011-01,Sun,springer,1,29,30
2011-01-02,2011-01,Sun,springer,5,17,22
2011-01-02,2011-01,Sun,springer,11,20,31
2011-01-02,2011-01,Sun,springer,0,9,9
2011-01-02,2011-01,Sun,springer,0,8,8
2011-01-03,2011-01,Mon,springer,0,5,5
2011-01-03,2011-01,Mon,springer,0,2,2
2011-01-03,2011-01,Mon,springer,0,1,1
2011-01-03,2011-01,Mon,springer,0,3,3
2011-01-03,2011-01,Mon,springer,0,30,30
2011-01-03,2011-01,Mon,springer,1,63,64
2011-01-03,2011-01,Mon,springer,1,153,154
2011-01-03,2011-01,Mon,springer,7,81,88
2011-01-03,2011-01,Mon,springer,11,33,44
2011-01-03,2011-01,Mon,springer,10,41,51
2011-01-03,2011-01,Mon,springer,13,48,61
2011-01-03,2011-01,Mon,springer,8,53,61
2011-01-03,2011-01,Mon,springer,11,66,77
2011-01-03,2011-01,Mon,springer,14,58,72
2011-01-03,2011-01,Mon,springer,9,67,76
2011-01-03,2011-01,Mon,springer,11,146,157
2011-01-03,2011-01,Mon,springer,9,148,157
2011-01-03,2011-01,Mon,springer,8,102,110
2011-01-03,2011-01,Mon,springer,3,49,52
2011-01-03,2011-01,Mon,springer,3,49,52
2011-01-03,2011-01,Mon,springer,0,20,20
2011-01-03,2011-01,Mon,springer,1,11,12
2011-01-04,2011-01,Tue,springer,0,5,5
2011-01-04,2011-01,Tue,springer,0,2,2
2011-01-04,2011-01,Tue,springer,0,1,1
2011-01-04,2011-01,Tue,springer,0,2,2
2011-01-04,2011-01,Tue,springer,0,4,4
2011-01-04,2011-01,Tue,springer,0,36,36
2011-01-04,2011-01,Tue,springer,2,92,94
2011-01-04,2011-01,Tue,springer,2,177,179
2011-01-04,2011-01,Tue,springer,2,98,100
2011-01-04,2011-01,Tue,springer,5,37,42
2011-01-04,2011-01,Tue,springer,7,50,57
2011-01-04,2011-01,Tue,springer,12,66,78
2011-01-04,2011-01,Tue,springer,18,79,97
2011-01-04,2011-01,Tue,springer,9,54,63
2011-01-04,2011-01,Tue,springer,17,48,65
2011-01-04,2011-01,Tue,springer,15,68,83
2011-01-04,2011-01,Tue,springer,10,202,212
2011-01-04,2011-01,Tue,springer,3,179,182
2011-01-04,2011-01,Tue,springer,2,110,112
2011-01-04,2011-01,Tue,springer,1,53,54
2011-01-04,2011-01,Tue,springer,0,48,48
2011-01-04,2011-01,Tue,springer,1,34,35
2011-01-04,2011-01,Tue,springer,2,9,11
2011-01-05,2011-01,Wed,springer,0,6,6
